Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Week_days,Time_Orderd_Hours,Time_Orderd_Minutes,Time_Order_picked_Hours,Time_Order_picked_Minutes,Distance_Resturant_to_Location
20.0,4.9,Cloudy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,17,Monday,22,55,23,5,4.469310320115436
38.0,4.8,Sunny,Low,0,Meal,motorcycle,1.0,No,Metropolitian,27,Thursday,23,5,23,15,4.656788095044164
24.0,4.5,Sunny,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,28,Monday,21,30,21,45,13.989852322089256
38.0,4.5,Stormy,Jam,1,Snack,motorcycle,2.0,No,Metropolitian,38,Saturday,21,0,21,10,13.392708074822348
31.0,3.9,Stormy,Jam,1,Buffet,motorcycle,2.0,No,Metropolitian,42,Sunday,20,15,20,30,11.00773476374462
34.0,4.2,Fog,Low,0,Meal,motorcycle,1.0,No,Metropolitian,42,Monday,22,55,23,5,16.722548420715
28.0,4.9,Stormy,Medium,2,Drinks,scooter,0.0,No,Metropolitian,25,Saturday,18,30,18,45,9.17624749258827
33.0,4.3,Stormy,Medium,0,Meal,motorcycle,1.0,No,Urban,35,Sunday,17,55,18,5,17.09875410817548
26.0,5.0,Cloudy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,32,Wednesday,18,50,18,55,13.82977049957229
39.0,4.7,Sunny,High,2,Meal,scooter,1.0,No,Metropolitian,19,Tuesday,12,45,12,55,6.290134677634678
33.0,4.4,Sunny,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,38,Saturday,18,35,18,45,12.46519913944678
20.0,4.9,Windy,Jam,1,Drinks,scooter,1.0,No,Urban,29,Sunday,20,40,20,50,9.121874253616898
39.0,5.0,Stormy,Low,2,Meal,scooter,0.0,No,Metropolitian,27,Thursday,8,15,8,20,3.04081604085675
32.0,4.6,Stormy,Low,2,Buffet,motorcycle,0.0,No,Urban,20,Thursday,23,10,23,15,4.58903875102421
34.0,5.0,Cloudy,Low,1,Buffet,scooter,1.0,No,Urban,16,Sunday,8,55,9,5,3.145067434621583
32.0,4.0,Cloudy,High,2,Meal,scooter,0.0,No,Metropolitian,38,Saturday,12,0,12,10,1.4906380442411205
35.0,4.8,Sunny,Jam,2,Buffet,electric_scooter,1.0,No,Urban,21,Wednesday,20,15,20,30,12.236790662986138
22.0,4.8,Cloudy,Low,2,Buffet,motorcycle,0.0,No,Metropolitian,13,Thursday,10,45,10,55,3.105355545118864
38.0,4.8,Sunny,Low,1,Meal,motorcycle,1.0,No,Metropolitian,11,Wednesday,8,55,9,5,3.104827485600479
39.0,4.1,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,37,Wednesday,20,55,21,10,10.723989806656368
35.0,4.9,Cloudy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,26,Thursday,10,15,10,30,1.514805885929248
39.0,4.9,Windy,Low,2,Buffet,scooter,1.0,No,Metropolitian,26,Monday,23,5,23,15,9.08808409216426
28.0,4.6,Cloudy,Medium,1,Buffet,scooter,0.0,No,Urban,18,Saturday,17,25,17,30,4.657591594952301
22.0,5.0,Fog,Medium,2,Drinks,electric_scooter,0.0,No,Metropolitian,12,Friday,16,55,17,5,5.959019072169318
30.0,4.4,Fog,Medium,1,Buffet,scooter,2.0,No,Metropolitian,38,Monday,17,15,17,30,10.906042243292651
30.0,4.6,Stormy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,21,Wednesday,23,25,23,35,12.464369459117805
21.0,4.6,Fog,Jam,1,Snack,scooter,1.0,No,Urban,39,Wednesday,19,35,19,40,13.406350345879243
30.0,3.5,Windy,Medium,1,Meal,scooter,2.0,No,Metropolitian,37,Wednesday,17,25,17,35,20.856833724898493
28.0,4.8,Cloudy,Low,1,Snack,scooter,1.0,No,Metropolitian,18,Saturday,11,5,11,15,1.529743511582863
27.0,4.8,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,46,Friday,19,30,19,35,10.641495972351702
35.0,4.5,Fog,Low,1,Drinks,motorcycle,1.0,No,Urban,17,Friday,10,40,10,45,1.4897768153112216
36.0,4.7,Fog,Jam,2,Buffet,motorcycle,2.0,No,Metropolitian,42,Friday,19,30,19,45,10.704672233866503
29.0,4.7,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,24,Thursday,20,45,20,55,7.56206997216248
23.0,4.4,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,37,Tuesday,19,45,19,55,7.862668167410368
25.0,4.5,Sunny,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,23,Wednesday,17,30,17,45,16.601046189403373
34.0,4.6,Fog,Low,0,Meal,motorcycle,1.0,No,Urban,25,Thursday,9,35,9,50,2.979500008381943
23.0,4.9,Windy,Jam,2,Buffet,motorcycle,0.0,No,Metropolitian,25,Thursday,19,50,20,0,16.384467035863942
30.0,4.7,Fog,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,38,Wednesday,21,10,21,20,10.58695309692162
30.0,4.7,Fog,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,22,Monday,23,40,23,50,11.919595217848318
20.0,4.9,Stormy,Low,1,Meal,motorcycle,0.0,No,Urban,11,Monday,22,10,22,20,10.56965419858754
33.0,5.0,Sunny,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,32,Monday,19,55,20,5,12.362235031113329
21.0,4.7,Cloudy,Jam,2,Buffet,scooter,0.0,No,Metropolitian,34,Wednesday,20,30,20,45,19.913009545593138
24.0,4.6,Fog,Low,2,Buffet,motorcycle,0.0,No,Metropolitian,15,Thursday,8,20,8,25,2.979626518993123
30.0,4.7,Sandstorms,Low,2,Drinks,electric_scooter,1.0,No,Urban,12,Thursday,22,5,22,15,13.97121661678327
30.0,4.4,Windy,Medium,0,Meal,motorcycle,1.0,Yes,Metropolitian,43,Sunday,17,30,17,40,19.760063712198686
30.0,4.7,Sunny,Jam,0,Drinks,motorcycle,2.0,No,Metropolitian,46,Monday,20,50,20,55,9.121796528794311
26.0,4.9,Fog,Medium,0,Drinks,motorcycle,0.0,No,Urban,23,Friday,16,50,17,0,6.037529176542177
30.0,4.1,Windy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,31,Friday,19,20,19,25,14.15280068944862
24.0,4.8,Windy,Jam,2,Meal,electric_scooter,0.0,No,Metropolitian,25,Wednesday,19,25,19,35,10.868667520702992
22.0,4.7,Stormy,Jam,2,Meal,scooter,1.0,No,Urban,26,Friday,21,25,21,40,10.683393573517062
35.0,4.8,Windy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,24,Friday,19,0,19,10,19.36342948174777
33.0,4.3,Stormy,Jam,1,Buffet,scooter,0.0,No,Urban,43,Friday,19,55,20,5,20.180911382710004
35.0,4.6,Sunny,Low,1,Snack,motorcycle,1.0,No,Metropolitian,25,Thursday,22,50,22,55,13.788947117364543
37.0,4.2,Fog,Jam,1,Drinks,scooter,1.0,No,Metropolitian,40,Wednesday,20,15,20,30,17.09838855662463
28.0,4.9,Windy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,14,Friday,19,45,19,55,7.448626618603313
24.0,4.6,Sunny,Medium,1,Buffet,scooter,1.0,No,Metropolitian,17,Tuesday,17,50,18,0,4.5969260911847485
38.0,4.9,Fog,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,26,Friday,21,40,21,55,4.469157679084987
28.0,4.6,Cloudy,Low,1,Snack,motorcycle,0.0,No,Metropolitian,28,Tuesday,23,25,23,30,16.849904095492622
20.0,4.6,Sunny,Medium,1,Snack,motorcycle,1.0,No,Urban,11,Wednesday,17,30,17,40,9.05586019430546
31.0,4.7,Fog,Low,1,Meal,motorcycle,0.0,No,Metropolitian,15,Monday,8,55,9,5,2.979410112022739
37.0,4.6,Sunny,Jam,1,Drinks,scooter,1.0,No,Urban,20,Thursday,19,40,19,45,13.77076958377127
30.0,4.6,Sandstorms,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,27,Saturday,17,55,18,10,20.206808074128567
25.0,4.5,Cloudy,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,30,Tuesday,21,25,21,30,7.448937379729502
30.0,4.7,Sandstorms,Medium,1,Meal,scooter,1.0,No,Metropolitian,29,Tuesday,17,50,18,0,9.192119121311745
30.0,4.5,Windy,Jam,2,Buffet,motorcycle,0.0,No,Metropolitian,30,Wednesday,21,45,21,55,13.583332471810197
32.0,4.6,Stormy,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,26,Saturday,22,20,22,25,19.36427479298585
31.0,5.0,Sandstorms,Medium,0,Meal,motorcycle,2.0,No,Metropolitian,46,Wednesday,17,55,18,5,12.294187491090897
21.0,4.9,Sunny,Medium,1,Buffet,scooter,1.0,No,Metropolitian,11,Thursday,16,20,16,25,6.290134677634678
33.0,4.6,Windy,Low,2,Meal,scooter,1.0,No,Metropolitian,25,Wednesday,22,50,23,0,20.85333460818602
21.0,4.8,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Urban,22,Monday,18,20,18,35,12.25700312192057
24.0,5.0,Sunny,Low,2,Meal,motorcycle,1.0,No,Metropolitian,17,Thursday,10,45,10,50,1.558137239175215
30.0,4.7,Sunny,Low,0,Meal,motorcycle,0.0,No,Metropolitian,27,Tuesday,22,40,22,50,10.641436955070953
21.0,4.7,Windy,Medium,2,Drinks,scooter,0.0,No,Urban,18,Sunday,17,40,17,45,19.915731481294102
28.0,4.7,Stormy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,20,Saturday,17,45,17,55,16.606416161294955
29.0,4.8,Cloudy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,39,Monday,19,35,19,50,17.073813051007523
24.0,4.8,Sandstorms,Low,2,Meal,scooter,0.0,No,Metropolitian,11,Friday,9,45,9,55,3.145067434621583
21.0,4.9,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,35,Monday,21,30,21,45,10.485867717329027
24.0,5.0,Stormy,Medium,2,Buffet,scooter,1.0,No,Metropolitian,26,Friday,17,30,17,35,19.395149836983705
34.0,4.3,Windy,High,0,Buffet,motorcycle,1.0,No,Urban,31,Thursday,13,35,13,45,6.040034059163726
33.0,4.2,Stormy,Medium,2,Drinks,electric_scooter,1.0,No,Metropolitian,31,Thursday,18,30,18,45,4.717601092054723
24.0,4.6,Stormy,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,20,Friday,20,40,20,45,7.862668167410368
23.0,4.9,Cloudy,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,16,Thursday,22,10,22,15,7.60180033473793
31.0,4.8,Cloudy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,35,Sunday,17,35,17,50,16.600272418856072
37.0,4.5,Sunny,Medium,1,Snack,scooter,1.0,No,Metropolitian,19,Sunday,18,55,19,5,7.631538489437011
21.0,5.0,Stormy,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,17,Sunday,18,55,19,5,12.161069532201358
30.0,4.7,Sunny,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,20,Thursday,15,45,15,55,6.10531621082431
37.0,4.9,Sunny,Low,1,Snack,scooter,1.0,No,Metropolitian,27,Friday,22,40,22,50,13.971968544834215
34.0,4.8,Cloudy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,25,Saturday,19,45,19,55,9.182882169250194
31.0,4.7,Sunny,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,21,Saturday,20,25,20,35,9.314862687658117
29.0,4.6,Stormy,Low,2,Snack,motorcycle,1.0,No,Metropolitian,18,Sunday,23,50,0,0,7.660348489150972
35.0,4.6,Stormy,Low,2,Snack,electric_scooter,0.0,No,Urban,15,Saturday,22,40,22,50,13.972194586930332
39.0,4.5,Windy,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,21,Friday,9,20,9,35,3.145067434621583
27.0,4.7,Fog,Medium,1,Buffet,scooter,1.0,No,Urban,15,Thursday,18,40,18,45,7.8028669927510785
38.0,4.6,Fog,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,37,Monday,17,45,17,55,13.428485784085463
39.0,4.6,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,23,Tuesday,23,40,23,45,7.5735286916855555
24.0,4.9,Sunny,Jam,1,Drinks,scooter,0.0,No,Urban,11,Friday,21,55,22,5,12.421407858787804
20.0,4.7,Sandstorms,Jam,2,Meal,electric_scooter,1.0,No,Urban,18,Tuesday,20,55,21,5,7.562478890452318
30.0,4.0,Cloudy,Medium,2,Buffet,electric_scooter,0.0,No,Metropolitian,34,Sunday,17,40,17,55,10.709308833621588
21.0,4.6,Sunny,Jam,1,Buffet,scooter,0.0,No,Metropolitian,22,Friday,21,55,22,5,13.612451541411556
20.0,4.7,Sandstorms,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,29,Sunday,17,50,18,5,13.970122998261996
35.0,4.7,Fog,Jam,2,Buffet,scooter,1.0,No,Urban,42,Sunday,21,45,21,50,12.099896960230076
35.0,4.9,Fog,Jam,1,Meal,scooter,1.0,No,Metropolitian,37,Sunday,21,40,21,50,13.612451541411556
28.0,4.7,Sunny,Medium,1,Meal,motorcycle,0.0,No,Metropolitian,13,Saturday,18,40,18,50,12.435689047425509
24.0,4.9,Fog,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,33,Sunday,18,30,18,45,13.611254468563876
37.0,4.6,Stormy,High,0,Snack,motorcycle,1.0,No,Urban,34,Thursday,13,40,13,55,6.232380002107721
24.0,4.7,Sandstorms,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,18,Friday,23,30,23,45,19.615926964388624
25.0,4.6,Fog,Medium,1,Meal,scooter,1.0,No,Metropolitian,13,Monday,17,45,17,55,9.219878421275038
36.0,4.2,Cloudy,High,1,Snack,scooter,0.0,No,Metropolitian,39,Sunday,11,50,12,0,3.1210525597446206
31.0,4.2,Sandstorms,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,48,Wednesday,17,10,17,20,16.72197157113495
36.0,4.5,Stormy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,28,Friday,10,40,10,55,1.5322206834602052
30.0,4.7,Cloudy,Medium,2,Buffet,motorcycle,0.0,No,Metropolitian,15,Thursday,15,15,15,25,6.037544630194255
37.0,5.0,Stormy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,29,Tuesday,12,35,12,45,6.1186308844114
31.0,4.9,Windy,Low,1,Meal,scooter,0.0,No,Metropolitian,24,Monday,23,50,0,0,4.596666925181527
25.0,5.0,Stormy,Low,2,Snack,scooter,0.0,No,Urban,12,Tuesday,23,10,23,15,12.43553817483687
24.0,4.7,Sunny,Low,1,Snack,scooter,1.0,No,Metropolitian,24,Friday,10,15,10,30,1.5368293119662575
24.0,4.7,Fog,Medium,2,Meal,scooter,0.0,No,Metropolitian,38,Friday,17,45,17,55,19.761110067714096
29.0,4.7,Cloudy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,37,Saturday,20,15,20,30,19.975741216257436
20.0,4.7,Windy,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,10,Friday,22,50,22,55,12.435689047425509
32.0,4.6,Windy,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,22,Thursday,9,10,9,25,1.536864059415262
36.0,4.7,Cloudy,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,51,Sunday,21,50,21,55,11.00773476374462
26.0,4.7,Sunny,High,2,Buffet,scooter,0.0,No,Metropolitian,17,Monday,11,20,11,25,1.4897777216516548
31.0,4.3,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,20,Sunday,23,25,23,40,9.348403522662323
37.0,4.6,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,27,Sunday,22,10,22,25,17.077821017427635
35.0,4.7,Fog,Low,1,Snack,motorcycle,1.0,No,Metropolitian,18,Wednesday,10,45,10,50,3.04081604085675
23.0,4.7,Sunny,Low,1,Buffet,scooter,1.0,No,Metropolitian,15,Monday,10,55,11,5,1.509439424217718
33.0,4.9,Sunny,Low,2,Meal,electric_scooter,1.0,No,Urban,24,Saturday,22,30,22,40,17.16552279552974
35.0,4.9,Sunny,Medium,0,Drinks,motorcycle,1.0,No,Urban,39,Wednesday,17,20,17,35,17.29786575291325
21.0,4.3,Fog,High,2,Meal,motorcycle,0.0,No,Metropolitian,33,Sunday,12,45,12,50,5.969230894896112
34.0,4.9,Sunny,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,17,Saturday,17,55,18,10,4.657672650623545
29.0,4.9,Cloudy,High,2,Buffet,scooter,1.0,No,Urban,23,Saturday,13,35,13,50,6.128249797982013
26.0,4.7,Sunny,Medium,1,Meal,scooter,1.0,No,Urban,15,Sunday,18,25,18,35,17.076492495612452
27.0,4.7,Stormy,Medium,2,Drinks,motorcycle,0.0,No,Metropolitian,27,Wednesday,17,50,17,55,10.602589325657693
27.0,4.7,Windy,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,10,Thursday,10,35,10,45,3.064508186852737
38.0,3.9,Sandstorms,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,38,Tuesday,18,55,19,5,13.990192142064847
22.0,4.8,Sandstorms,Jam,1,Buffet,scooter,0.0,No,Metropolitian,15,Tuesday,21,0,21,10,4.541149754386511
21.0,4.7,Windy,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,26,Wednesday,19,30,19,45,12.16161548161981
24.0,4.9,Sandstorms,High,2,Snack,motorcycle,0.0,No,Metropolitian,22,Friday,11,40,11,55,2.9303450916192486
28.0,4.7,Fog,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,12,Wednesday,18,35,18,40,7.683765443180289
24.0,4.1,Cloudy,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,41,Friday,19,35,19,40,10.705559922396557
27.0,5.0,Stormy,Medium,2,Meal,motorcycle,0.0,No,Metropolitian,29,Tuesday,17,30,17,45,9.121049806498666
35.0,4.8,Cloudy,Medium,1,Buffet,motorcycle,2.0,No,Metropolitian,40,Sunday,18,55,19,5,12.116905670047103
24.0,4.7,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,21,Tuesday,23,20,23,25,9.32728515796102
39.0,4.6,Sunny,Low,1,Snack,scooter,0.0,No,Metropolitian,22,Friday,22,55,23,5,17.07395729139767
22.0,4.8,Sunny,Low,2,Snack,motorcycle,0.0,No,Metropolitian,24,Monday,10,50,11,5,1.558137239175215
22.0,4.9,Sunny,Low,0,Meal,motorcycle,0.0,No,Metropolitian,23,Tuesday,23,15,23,30,19.36342948174777
24.0,5.0,Cloudy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,24,Wednesday,22,50,22,55,12.42075039087061
37.0,4.1,Windy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,34,Saturday,17,55,18,10,4.663600819587387
30.0,4.9,Sunny,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,24,Tuesday,20,50,20,55,4.681855267708646
30.0,4.7,Sandstorms,Low,1,Snack,scooter,0.0,No,Metropolitian,11,Friday,23,30,23,40,12.58026782240096
34.0,4.9,Sunny,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,26,Monday,17,35,17,40,12.074056378231194
23.0,4.9,Fog,Low,2,Meal,scooter,0.0,No,Metropolitian,28,Wednesday,23,35,23,50,19.878389859457627
21.0,4.8,Windy,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,16,Sunday,20,45,20,55,12.463888116757747
31.0,4.9,Windy,Low,0,Buffet,motorcycle,0.0,No,Urban,24,Thursday,23,30,23,40,19.91296718928853
21.0,4.8,Windy,Low,2,Drinks,scooter,0.0,No,Metropolitian,17,Wednesday,22,50,23,0,9.181146899051036
34.0,4.3,Windy,Jam,1,Buffet,scooter,0.0,No,Metropolitian,34,Friday,19,45,19,55,4.530346340591708
38.0,4.8,Sunny,Low,2,Meal,scooter,1.0,No,Metropolitian,17,Friday,9,5,9,15,2.996250036665907
25.0,4.5,Windy,Low,2,Drinks,scooter,1.0,No,Metropolitian,17,Sunday,22,45,22,55,7.648690101362527
25.0,4.8,Sunny,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,23,Friday,8,55,9,5,3.0594600768341045
28.0,4.9,Windy,Jam,2,Buffet,motorcycle,0.0,No,Metropolitian,22,Sunday,19,40,19,50,10.723286946137817
34.0,3.6,Fog,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,31,Wednesday,23,35,23,45,14.0219570899938
27.0,4.4,Sunny,High,0,Buffet,motorcycle,1.0,No,Metropolitian,47,Tuesday,13,55,14,10,6.146746629962817
37.0,4.7,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,33,Sunday,21,25,21,30,4.469203457950985
24.0,4.9,Stormy,Jam,0,Drinks,motorcycle,1.0,No,Urban,34,Tuesday,20,25,20,35,12.418480328292787
21.0,4.5,Sandstorms,Jam,2,Meal,scooter,0.0,No,Metropolitian,25,Tuesday,21,55,22,10,19.8832515530204
37.0,4.5,Sandstorms,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,26,Thursday,18,55,19,5,7.546817179242812
25.0,4.6,Sunny,Low,0,Snack,motorcycle,1.0,No,Urban,21,Friday,22,45,22,50,13.989852322089256
21.0,4.8,Windy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,23,Tuesday,19,20,19,35,13.97194896017493
23.0,5.0,Cloudy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,44,Wednesday,21,0,21,10,16.385802266862793
30.0,4.7,Cloudy,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,19,Monday,10,15,10,30,3.040891552951612
39.0,4.1,Stormy,Medium,0,Meal,motorcycle,2.0,No,Metropolitian,39,Monday,17,40,17,55,11.937046205544908
32.0,4.1,Windy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,33,Tuesday,8,30,8,40,3.11620371432348
33.0,4.5,Fog,Low,2,Snack,motorcycle,0.0,No,Urban,19,Tuesday,10,50,11,5,1.554508559519504
31.0,4.2,Windy,Jam,0,Buffet,motorcycle,1.0,No,Semi-Urban,52,Sunday,21,30,21,40,20.25368674664092
28.0,5.0,Fog,Low,2,Meal,motorcycle,1.0,No,Metropolitian,29,Sunday,23,25,23,35,19.975632175541914
23.0,4.3,Sandstorms,Low,0,Drinks,motorcycle,1.0,No,Urban,15,Friday,9,50,10,5,3.0644871057616703
25.0,5.0,Windy,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,16,Wednesday,9,45,9,55,1.5204186010643506
22.0,4.6,Sandstorms,Low,0,Meal,motorcycle,0.0,No,Metropolitian,22,Wednesday,23,10,23,20,16.11502964726321
27.0,4.9,Fog,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,18,Tuesday,8,35,8,50,3.105091522701049
30.0,4.2,Fog,Low,1,Buffet,scooter,0.0,No,Metropolitian,36,Monday,22,20,22,30,13.829019124454268
26.0,4.9,Fog,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,19,Monday,9,25,9,30,1.552358479577722
25.0,3.9,Sunny,High,0,Meal,motorcycle,0.0,No,Urban,43,Sunday,11,50,12,0,3.0188284633848217
24.0,4.8,Sunny,High,1,Buffet,motorcycle,1.0,No,Metropolitian,16,Thursday,12,40,12,45,6.210543032489626
22.0,4.7,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,25,Sunday,20,15,20,25,9.060226100288048
32.0,5.0,Fog,Low,2,Snack,motorcycle,0.0,No,Metropolitian,19,Friday,23,45,23,55,9.056095962462344
26.0,4.8,Fog,Jam,1,Meal,scooter,1.0,No,Metropolitian,22,Wednesday,21,15,21,20,9.22041869455818
36.0,4.9,Windy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,27,Friday,22,20,22,35,11.904780345542626
30.0,4.7,Stormy,Low,2,Drinks,scooter,1.0,No,Metropolitian,15,Tuesday,10,10,10,20,3.0408931296411703
29.0,4.7,Sunny,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,16,Thursday,9,0,9,10,3.01870080243822
26.0,5.0,Sunny,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,27,Saturday,18,30,18,40,19.66102221350665
21.0,4.9,Sandstorms,Medium,1,Buffet,motorcycle,0.0,No,Metropolitian,28,Friday,18,55,19,5,4.658009301231346
33.0,4.2,Windy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,33,Tuesday,9,55,10,5,1.5524171512659315
37.0,4.7,Fog,Medium,1,Meal,scooter,1.0,No,Metropolitian,40,Friday,17,40,17,50,13.97317756157655
38.0,4.4,Windy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,28,Thursday,23,10,23,15,9.074836683459717
28.0,4.9,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Urban,29,Friday,19,20,19,25,12.24118768009516
26.0,4.9,Sandstorms,High,1,Snack,scooter,1.0,No,Metropolitian,22,Tuesday,11,40,11,45,3.058968615637044
20.0,4.8,Cloudy,High,2,Buffet,electric_scooter,1.0,No,Metropolitian,31,Wednesday,12,45,12,50,6.037116126732456
31.0,4.4,Windy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,37,Friday,21,55,22,5,16.60095424935038
